Cross_ID,Entry,WDR,flowering,Powdery_mildew,Height
Parent,AGS2000,1.78666666666665,93.2368774420319,2.09896084081669,92.3748675828985
Parent,ARGA051160-14LE31,1.25328472378688,98.7252226913963,2.00692289190717,91.5218585555744
Parent,GA001138-8E36,1.76219797718883,98.1729897541709,1.53427716011936,99.5264312431483
Parent,GA00190-7A14,1.43703347286908,96.8012735181623,1.7215246019722,93.6697910960077
Parent,GA05450-EL52,1.77824351192232,92.9105391937933,1.90401822855976,85.8030309040178
Parent,GA06493-13LE6,1.30012657621542,100.647480609332,0.863381131998334,90.8872724892793
Parent,HILLIARD,1.11709186073176,98.5967453952713,1.30844557668668,88.8980601874786
Parent,LA09264C-P2,2.22023160026204,89.7308746647549,1.28403040741098,84.9898545614196
Parent,MPV57,1.12339225825796,100.719124463988,1.57713270205491,88.4144589848501
Parent,NC08-23383,1.30012657621542,98.4956095311445,1.49364720194481,82.454459844432
Parent,NC8248-1,1.92666666666664,89.9401126219812,1.37714995677107,86.8297521459895
Parent,SS8641,1.56398576213574,97.0395035779557,0.959463517158996,90.3440700349063
Parent,TX12D4896,1.74666666666664,96.4008848335217,2.33408930822371,88.4749664923151
UX1989,UX1989-1,1.39999999999998,96.2954433389943,1.83594475351193,99.2149591457845
UX1989,UX1989-10,1.39999999999998,94.7450218428524,1.49613139808041,90.9920997390069
UX1989,UX1989-100,1.99999999999998,96.8168141527136,2.58664868866178,98.2033660841967
UX1989,UX1989-102,1.59999999999998,95.10357031829,3.30093440294749,95.3506390968879
UX1989,UX1989-103,1.99999999999998,92.6231003531629,1.87236297437606,92.583764938336
UX1989,UX1989-104,1.59999999999998,94.3941255076177,1.4890758313916,80.9477279145294
UX1989,UX1989-106,1.05842961209594,98.639082539753,1.87236297437606,92.141567454826
UX1989,UX1989-107,1.59999999999998,92.1568871404414,2.58664868866178,83.0816742365326
UX1989,UX1989-108,1.39999999999998,95.1646787582531,3.30093440294749,86.8714894801196
UX1989,UX1989-109,1.39999999999998,97.7797264783532,2.58664868866178,90.5682072281331
UX1989,UX1989-110,2.19999999999998,92.2636684133307,1.87236297437607,89.2373749209103
